Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor,Sentiment Analysis,Sentiment Score,Risk Analysis,Risk Confidence
2024-12-20,Asia,USA,Simpson-Roberts,28191,10,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High,LABEL_0,0.75569087266922,neutral,0.6493207812309265
2024-02-16,Africa,Canada,Jones-Day,28338,3,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low,LABEL_1,0.7901261448860168,neutral,0.8642790913581848
2024-04-27,Asia,Canada,"Williams, Smith and Lawson",54712,6,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High,LABEL_1,0.7901261448860168,neutral,0.7669093608856201
2024-10-30,South America,China,Mcdaniel-Reynolds,87444,9,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,Low,LABEL_0,0.565018355846405,neutral,0.8052949905395508
2024-10-08,Asia,India,Williams-Jones,40626,4,Delayed,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High,LABEL_0,0.8567883372306824,neutral,0.8174573183059692
2024-09-14,Oceania,South Africa,Hall Group,28053,23,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,High,LABEL_0,0.75569087266922,neutral,0.6770095229148865
2024-09-23,Oceania,Canada,Kelly-Hurst,27631,2,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium,LABEL_0,0.5824687480926514,neutral,0.7902296185493469
2024-03-02,Asia,USA,"Floyd, Long and Wilkerson",36930,3,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High,LABEL_2,0.5472204089164734,neutral,0.46725404262542725
2024-08-24,South America,China,Mccarty Inc,60428,20,Delayed,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High,LABEL_1,0.7901261448860168,neutral,0.8343701362609863
2024-01-25,Africa,USA,Mathews-Lowery,47588,20,In Transit,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Medium,LABEL_2,0.8424614071846008,contradiction,0.9791551232337952
2025-01-15,South America,South Africa,West-Burke,47463,21,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High,LABEL_0,0.565018355846405,neutral,0.8810372948646545
2024-09-05,Africa,India,Spencer-Butler,46562,3,Delayed,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High,LABEL_0,0.8567883372306824,neutral,0.8217678070068359
2024-09-08,Asia,Germany,Johnson-Gonzalez,22134,15,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High,LABEL_0,0.565018355846405,neutral,0.7716047167778015
2024-06-27,Africa,China,Miller-Valdez,56099,6,Delayed,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High,LABEL_0,0.8567883372306824,neutral,0.8076188564300537
2024-07-13,South America,Germany,Mcdonald-Clark,36041,14,Delayed,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,High,LABEL_0,0.5000081062316895,neutral,0.739512026309967
2024-08-04,South America,Australia,Huffman PLC,33347,18,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium,LABEL_0,0.7376754879951477,neutral,0.8976801037788391
2024-07-14,Africa,Brazil,Payne-Little,42626,20,In Transit,Improved infrastructure reduces transportation delays.,Drought leading to crop failure,Medium,LABEL_2,0.5472204089164734,neutral,0.6512031555175781
2024-06-18,North America,India,Miller Group,18751,6,In Transit,Government announces subsidies for tomato farmers.,Unexpected frost damaging crops,Low,LABEL_1,0.7901261448860168,neutral,0.7113574147224426
2024-04-07,Oceania,South Africa,Johnson and Sons,98883,21,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High,LABEL_2,0.5472204089164734,neutral,0.48471105098724365
2024-12-29,Africa,South Africa,"Kelly, Pearson and Davis",40316,19,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Unexpected frost damaging crops,Medium,LABEL_2,0.5472204089164734,neutral,0.5231213569641113
2024-12-20,South America,Germany,"Ferrell, French and Stanley",19819,6,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High,LABEL_0,0.8567883372306824,neutral,0.8005663752555847
2024-11-27,Oceania,South Africa,Franklin-Butler,44952,18,Delayed,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,High,LABEL_0,0.7376754879951477,neutral,0.7397212982177734
2024-01-29,Europe,USA,Reyes-Bates,44002,26,Delayed,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,High,LABEL_0,0.8395679593086243,contradiction,0.910632312297821
2025-01-18,North America,China,Mckee-Gonzales,29957,26,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High,LABEL_2,0.5472204089164734,neutral,0.5592377781867981
2024-05-28,Africa,China,Townsend-Munoz,36627,5,In Transit,Improved infrastructure reduces transportation delays.,Strong winds causing crop damage,High,LABEL_2,0.5472204089164734,neutral,0.585107147693634
2024-09-02,Europe,Brazil,Wilson LLC,75717,24,In Transit,Export restrictions lead to surplus in local markets.,Sunny and favorable for farming,High,LABEL_0,0.5000081062316895,neutral,0.8800223469734192
2024-12-26,South America,Germany,Hess Group,63032,9,In Transit,Export restrictions lead to surplus in local markets.,Mild rainfall aiding crop growth,Low,LABEL_0,0.5000081062316895,neutral,0.8050073385238647
2024-11-22,Oceania,Canada,Scott Inc,81641,25,In Transit,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High,LABEL_0,0.8567883372306824,neutral,0.8376569151878357
2024-03-19,North America,Germany,Tucker-Sanford,68785,8,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High,LABEL_0,0.8567883372306824,neutral,0.8051862716674805
2024-06-26,South America,Australia,Rios-Smith,69183,7,Delayed,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High,LABEL_0,0.8567883372306824,neutral,0.8110015988349915
2025-01-14,Africa,USA,Welch-Wilson,23265,12,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High,LABEL_2,0.8424614071846008,contradiction,0.9087673425674438
2024-10-16,Asia,Australia,Fowler PLC,53882,3,In Transit,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,Low,LABEL_0,0.5824687480926514,neutral,0.8560053110122681
2024-12-10,North America,India,Johnson PLC,51450,21,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,High,LABEL_0,0.565018355846405,neutral,0.882721483707428
2024-01-30,Oceania,Canada,"Brown, Perez and Jackson",3275,2,Awaiting Dispatch,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,Medium,LABEL_0,0.8395679593086243,contradiction,0.5701406598091125
2024-11-16,South America,China,Holden LLC,11333,3,Delayed,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High,LABEL_0,0.8395679593086243,contradiction,0.5184509754180908
2024-10-06,Africa,Canada,Burnett LLC,41048,12,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,Medium,LABEL_0,0.565018355846405,neutral,0.8233901858329773
2024-03-19,Europe,Australia,"Lee, Bush and Parker",40961,2,In Transit,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,Low,LABEL_0,0.5000081062316895,neutral,0.7652626633644104
2024-10-08,Europe,Australia,"Rivera, Gomez and Williams",56421,3,Delayed,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High,LABEL_0,0.5824687480926514,neutral,0.7864657640457153
2024-03-29,Africa,Australia,Norton Ltd,96024,18,Delayed,Pest infestation reduces tomato output in key regions.,Strong winds causing crop damage,High,LABEL_0,0.7376754879951477,neutral,0.7486451864242554
2024-03-08,Africa,India,Green-White,96274,16,In Transit,Heavy rainfall damages crops in major producing areas.,Mild rainfall aiding crop growth,Medium,LABEL_0,0.8395679593086243,contradiction,0.9063962697982788
2024-08-16,Europe,India,"Sanders, Barry and Perkins",54581,28,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Sunny and favorable for farming,High,LABEL_0,0.565018355846405,neutral,0.795589804649353
2024-01-20,Asia,China,Booker-Thompson,78389,11,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium,LABEL_0,0.7376754879951477,neutral,0.7819676399230957
2024-10-03,South America,India,"Wang, Nixon and Lucas",9631,25,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,High,LABEL_0,0.8395679593086243,contradiction,0.5717363357543945
2024-03-11,Asia,Australia,Smith-Obrien,87734,1,In Transit,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Low,LABEL_0,0.5000081062316895,neutral,0.7564406394958496
2024-03-26,South America,USA,Mcclain Group,81308,7,Delayed,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High,LABEL_0,0.7376754879951477,neutral,0.8339100480079651
2024-02-28,North America,Australia,Levy Group,79544,28,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Unexpected frost damaging crops,High,LABEL_0,0.5824687480926514,neutral,0.7977338433265686
2024-05-22,South America,India,Cook Group,11459,14,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,Medium,LABEL_0,0.7376754879951477,neutral,0.8328508734703064
2024-11-06,North America,India,Cline Group,16108,11,Delayed,Government announces subsidies for tomato farmers.,Drought leading to crop failure,High,LABEL_1,0.7901261448860168,neutral,0.6047649383544922
2024-07-05,Africa,India,Hernandez and Sons,24971,2,In Transit,Export restrictions lead to surplus in local markets.,High humidity increasing pest risks,Low,LABEL_0,0.5000081062316895,neutral,0.816493034362793
2024-12-17,Oceania,China,Thompson-Weaver,94502,20,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,Medium,LABEL_0,0.5000081062316895,neutral,0.8161131143569946
2024-03-29,Asia,South Africa,Bauer-Higgins,64702,20,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High,LABEL_0,0.75569087266922,contradiction,0.9699916243553162
2024-06-18,Oceania,Brazil,Duke Ltd,42815,10,In Transit,Pest infestation reduces tomato output in key regions.,Unexpected frost damaging crops,Medium,LABEL_0,0.7376754879951477,neutral,0.7780684232711792
2024-12-21,Africa,Brazil,"Hall, Washington and King",36231,27,In Transit,Heavy rainfall damages crops in major producing areas.,Sunny and favorable for farming,High,LABEL_0,0.8395679593086243,neutral,0.5118285417556763
2024-04-05,Asia,USA,Dunn LLC,95050,28,Awaiting Dispatch,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High,LABEL_2,0.5472204089164734,neutral,0.7109653949737549
2024-12-15,Asia,USA,"Higgins, Williams and Nguyen",76901,25,Delayed,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,High,LABEL_2,0.5472204089164734,neutral,0.5555537343025208
2024-09-16,South America,Brazil,Wyatt PLC,50057,21,In Transit,Farmers report higher yields thanks to favorable weather.,Strong winds causing crop damage,High,LABEL_2,0.8424614071846008,contradiction,0.9343061447143555
2024-01-28,Europe,South Africa,"Taylor, Duffy and Harvey",97846,26,In Transit,Heavy rainfall damages crops in major producing areas.,Strong winds causing crop damage,High,LABEL_0,0.8395679593086243,contradiction,0.6135821342468262
2024-06-23,Oceania,USA,Shaw and Sons,36921,1,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,High humidity increasing pest risks,High,LABEL_0,0.8567883372306824,neutral,0.8027769923210144
2024-09-22,Africa,Brazil,Johnson Ltd,10292,28,In Transit,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High,LABEL_0,0.75569087266922,neutral,0.6082496643066406
2024-09-11,Asia,Canada,Moran and Sons,27215,19,Delayed,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High,LABEL_0,0.565018355846405,neutral,0.7973288297653198
2024-12-16,Europe,Canada,"Dalton, Ray and Young",71697,17,In Transit,Delays in transportation cause supply chain disruptions.,Strong winds causing crop damage,High,LABEL_0,0.8567883372306824,neutral,0.7710567116737366
2024-07-06,South America,India,Taylor-Thomas,23124,9,In Transit,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,Low,LABEL_0,0.8395679593086243,neutral,0.7640716433525085
2024-05-28,Oceania,India,Tapia LLC,40097,7,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Low,LABEL_2,0.5472204089164734,neutral,0.7260717749595642
2024-04-24,Oceania,Australia,"Allen, Clark and Gonzalez",42691,19,In Transit,Heavy rainfall damages crops in major producing areas.,Unexpected frost damaging crops,Medium,LABEL_0,0.8395679593086243,contradiction,0.4918736517429352
2024-03-30,Oceania,South Africa,Anderson-Warner,4723,3,Awaiting Dispatch,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,Medium,LABEL_2,0.8424614071846008,neutral,0.9070717692375183
2024-05-01,Asia,China,Wilson Ltd,8908,4,In Transit,Farmers report higher yields thanks to favorable weather.,Heavy rainfall causing waterlogging,Low,LABEL_2,0.8424614071846008,contradiction,0.6407461166381836
2024-04-18,Oceania,Germany,"Mclaughlin, Jimenez and Williams",42825,1,Delayed,Improved infrastructure reduces transportation delays.,Heavy rainfall causing waterlogging,High,LABEL_2,0.5472204089164734,neutral,0.6293386220932007
2025-01-10,North America,China,"Bass, Melton and Contreras",47288,25,In Transit,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High,LABEL_1,0.7901261448860168,neutral,0.7427150011062622
2024-05-17,Asia,India,"Wiggins, Davis and Estrada",93158,18,Awaiting Dispatch,Labor shortages affect harvesting in rural areas.,Mild rainfall aiding crop growth,Medium,LABEL_0,0.5824687480926514,neutral,0.885690450668335
2024-07-12,Asia,China,Scott-Moore,83114,28,Delayed,Farmers report higher yields thanks to favorable weather.,Sunny and favorable for farming,High,LABEL_2,0.8424614071846008,neutral,0.9005498290061951
2024-05-01,Asia,South Africa,Knight-Farrell,82323,28,Delayed,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,High,LABEL_0,0.75569087266922,neutral,0.8437291979789734
2025-01-15,North America,India,"Vaughn, Moore and Hamilton",97730,6,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,Medium,LABEL_0,0.7376754879951477,neutral,0.8425939679145813
2024-06-27,Europe,Australia,Briggs Ltd,65183,8,Delayed,Farmers report higher yields thanks to favorable weather.,Mild rainfall aiding crop growth,High,LABEL_2,0.8424614071846008,neutral,0.8732410669326782
2024-11-14,Oceania,Germany,"Murray, Goodwin and Hayden",62622,2,Awaiting Dispatch,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,Low,LABEL_1,0.7901261448860168,neutral,0.8443815112113953
2024-11-14,Europe,Australia,Harrison Inc,69863,13,In Transit,Labor shortages affect harvesting in rural areas.,Sunny and favorable for farming,Medium,LABEL_0,0.5824687480926514,neutral,0.8444697856903076
2024-07-04,South America,Germany,Edwards-Ramirez,40223,8,In Transit,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low,LABEL_1,0.7901261448860168,neutral,0.8594465851783752
2024-03-15,North America,India,"Williams, Kennedy and Avila",13782,20,Delayed,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,High,LABEL_0,0.5824687480926514,neutral,0.7258963584899902
2025-01-05,Asia,USA,"Hubbard, Smith and Clark",74478,21,In Transit,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High,LABEL_0,0.565018355846405,neutral,0.5610151886940002
2024-12-04,Europe,India,Livingston and Sons,66018,19,Awaiting Dispatch,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium,LABEL_0,0.7376754879951477,neutral,0.8673577308654785
2024-04-29,South America,Canada,Reyes-Bowen,81877,24,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Drought leading to crop failure,High,LABEL_0,0.565018355846405,contradiction,0.7380185127258301
2024-04-15,North America,Canada,"Landry, Horn and Jensen",38370,3,Awaiting Dispatch,Delays in transportation cause supply chain disruptions.,Sunny and favorable for farming,High,LABEL_0,0.8567883372306824,neutral,0.8500487804412842
2024-03-06,Africa,Australia,Cooper-Mills,98883,7,In Transit,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Low,LABEL_1,0.7901261448860168,neutral,0.8602743148803711
2025-01-07,South America,Canada,"Williamson, Anderson and Marks",62521,7,Delayed,Drought conditions lead to reduced tomato supply.,Heavy rainfall causing waterlogging,High,LABEL_0,0.75569087266922,contradiction,0.9653751254081726
2024-07-24,Asia,Canada,"Moore, Maldonado and Coleman",61635,24,In Transit,Labor shortages affect harvesting in rural areas.,Heavy rainfall causing waterlogging,High,LABEL_0,0.5824687480926514,neutral,0.8562145829200745
2024-02-19,Europe,Australia,Bowman-Arnold,47880,26,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Mild rainfall aiding crop growth,High,LABEL_0,0.75569087266922,contradiction,0.6099444627761841
2024-12-01,Africa,Brazil,Williams-Reid,76959,7,Delayed,Drought conditions lead to reduced tomato supply.,Drought leading to crop failure,High,LABEL_0,0.75569087266922,neutral,0.7135626673698425
2024-05-24,Asia,USA,"Ray, Wells and Evans",55675,8,Delayed,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,High,LABEL_1,0.7901261448860168,neutral,0.8553617596626282
2024-08-02,Africa,China,Garrett Group,18826,17,In Transit,Heavy rainfall damages crops in major producing areas.,High humidity increasing pest risks,Medium,LABEL_0,0.8395679593086243,neutral,0.8364251852035522
2024-05-07,Europe,Australia,Rose-Hudson,60944,15,Delayed,Heavy rainfall damages crops in major producing areas.,Heavy rainfall causing waterlogging,High,LABEL_0,0.8395679593086243,neutral,0.8792725205421448
2024-06-24,Asia,Australia,Price LLC,85844,2,In Transit,Government announces subsidies for tomato farmers.,Drought leading to crop failure,Medium,LABEL_1,0.7901261448860168,neutral,0.7948618531227112
2024-10-18,Asia,Brazil,"Rodriguez, Hill and Johnson",15840,5,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low,LABEL_1,0.7901261448860168,neutral,0.87961745262146
2024-07-18,Asia,Australia,Short-Hines,1920,18,In Transit,Pest infestation reduces tomato output in key regions.,Mild rainfall aiding crop growth,High,LABEL_0,0.7376754879951477,neutral,0.6865386962890625
2024-11-28,South America,India,Benton PLC,53467,16,In Transit,Improved infrastructure reduces transportation delays.,Sunny and favorable for farming,Medium,LABEL_2,0.5472204089164734,neutral,0.819898784160614
2024-08-26,Oceania,China,Stone Group,76743,9,In Transit,Improved infrastructure reduces transportation delays.,Mild rainfall aiding crop growth,Low,LABEL_2,0.5472204089164734,neutral,0.6482897400856018
2024-02-26,Oceania,India,James-Murphy,97908,20,Delayed,Pest infestation reduces tomato output in key regions.,Heavy rainfall causing waterlogging,High,LABEL_0,0.7376754879951477,neutral,0.8426515460014343
2024-07-30,Oceania,Germany,Barker LLC,49614,2,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High,LABEL_0,0.75569087266922,neutral,0.661185622215271
2024-07-03,South America,USA,Myers Ltd,11281,26,Delayed,Export restrictions lead to surplus in local markets.,Heavy rainfall causing waterlogging,High,LABEL_0,0.5000081062316895,neutral,0.7629092931747437
2024-02-04,Europe,South Africa,"Reynolds, Pittman and Branch",26474,9,In Transit,Export restrictions lead to surplus in local markets.,Unexpected frost damaging crops,Low,LABEL_0,0.5000081062316895,neutral,0.8019306659698486
2024-05-13,South America,Brazil,"Rollins, Weiss and Johnson",9508,22,In Transit,Drought conditions lead to reduced tomato supply.,Strong winds causing crop damage,High,LABEL_0,0.75569087266922,neutral,0.526117205619812
2024-03-08,Oceania,India,Moreno-Kim,69711,3,In Transit,Pest infestation reduces tomato output in key regions.,Sunny and favorable for farming,Medium,LABEL_0,0.7376754879951477,neutral,0.7187361717224121
2024-06-12,South America,Australia,Montgomery LLC,80979,3,In Transit,Delays in transportation cause supply chain disruptions.,Mild rainfall aiding crop growth,High,LABEL_0,0.8567883372306824,neutral,0.8402974009513855
2025-01-10,Europe,India,Collins-Barrett,49410,14,Awaiting Dispatch,Export restrictions lead to surplus in local markets.,Drought leading to crop failure,Medium,LABEL_0,0.5000081062316895,neutral,0.8186909556388855
2024-10-30,South America,USA,Mayo-Villarreal,67925,16,In Transit,Pest infestation reduces tomato output in key regions.,High humidity increasing pest risks,Medium,LABEL_0,0.7376754879951477,neutral,0.9260105490684509
2024-07-23,Asia,Australia,Galvan Group,22935,9,Delayed,Drought conditions lead to reduced tomato supply.,Sunny and favorable for farming,High,LABEL_0,0.75569087266922,contradiction,0.5341038107872009
2024-10-07,Europe,Australia,Knight PLC,82350,27,In Transit,Labor shortages affect harvesting in rural areas.,High humidity increasing pest risks,High,LABEL_0,0.5824687480926514,neutral,0.8796435594558716
2024-03-08,North America,South Africa,Taylor Inc,92668,29,Delayed,Tomato prices soar due to unexpected frost in the region.,Mild rainfall aiding crop growth,High,LABEL_0,0.565018355846405,neutral,0.5244380235671997
2024-06-21,North America,India,Lee-Ward,37081,18,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Sunny and favorable for farming,Medium,LABEL_1,0.7901261448860168,neutral,0.8621193766593933
