Date,Region,Country,Supplier Name,Inventory,Lead Time (days),Transport Status,News Sentiment,Weather Condition,Risk Factor
2024-12-20,Asia,USA,Simpson-Roberts,28191,10,Delayed,Drought conditions lead to reduced tomato supply.,Unexpected frost damaging crops,High
2024-02-16,Africa,Canada,Jones-Day,28338,3,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Mild rainfall aiding crop growth,Low
2024-04-27,Asia,Canada,"Williams, Smith and Lawson",54712,6,Awaiting Dispatch,Government announces subsidies for tomato farmers.,Strong winds causing crop damage,High
2024-10-30,South America,China,Mcdaniel-Reynolds,87444,9,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,Heavy rainfall causing waterlogging,Low
2024-10-08,Asia,India,Williams-Jones,40626,4,Delayed,Delays in transportation cause supply chain disruptions.,Heavy rainfall causing waterlogging,High
2024-09-14,Oceania,South Africa,Hall Group,28053,23,Awaiting Dispatch,Drought conditions lead to reduced tomato supply.,High humidity increasing pest risks,High
2024-09-23,Oceania,Canada,Kelly-Hurst,27631,2,In Transit,Labor shortages affect harvesting in rural areas.,Drought leading to crop failure,Medium
2024-03-02,Asia,USA,"Floyd, Long and Wilkerson",36930,3,Delayed,Improved infrastructure reduces transportation delays.,High humidity increasing pest risks,High
2024-08-24,South America,China,Mccarty Inc,60428,20,Delayed,Government announces subsidies for tomato farmers.,High humidity increasing pest risks,High
2024-01-25,Africa,USA,Mathews-Lowery,47588,20,In Transit,Farmers report higher yields thanks to favorable weather.,Unexpected frost damaging crops,Medium
2025-01-15,South America,South Africa,West-Burke,47463,21,Awaiting Dispatch,Tomato prices soar due to unexpected frost in the region.,High humidity increasing pest risks,High
2024-09-05,Africa,India,Spencer-Butler,46562,3,Delayed,Delays in transportation cause supply chain disruptions.,Drought leading to crop failure,High
2024-09-08,Asia,Germany,Johnson-Gonzalez,22134,15,In Transit,Tomato prices soar due to unexpected frost in the region.,Strong winds causing crop damage,High
2024-06-27,Africa,China,Miller-Valdez,56099,6,Delayed,Delays in transportation cause supply chain disruptions.,Unexpected frost damaging crops,High
